variable
"2019bio___$58,136"
"2019bio___$52,196"
"2019bio___$59,022"
"2019bio___$61,181"
"2019bio___$57,910"
"2019bio___$67,575"
"2019bio___$64,749"
"2019bio___$61,871"
"2019bio___$64,254"
"2019bio___$65,742"
"2019bio___$59,872"
"2019bio___$67,012"
"2019bio___$62,153"
"2019bio___$62,204"
"2019bio___$63,823"
"2019bio___$51,596"
"2019bio___$59,964"
"2019bio___$64,211"
"2019bio___$67,370"
"2019bio___$60,312"
"2019bio___$61,060"
"2019bio___$57,308"
"2019bio___$58,392"
"2019bio___$60,106"
"2019bio___$64,137"
"2019bio___$56,426"
"2019bio___$56,665"
"2019bio___$53,899"
"2019bio___$62,454"
"2019bio___$69,326"
"2019bio___$61,453"
"2019bio___$64,938"
"2019bio___$48,115"
"2019bio___$61,581"
"2019bio___$66,177"
"2019bio___$63,195"
"2019bio___$63,927"
"2019bio___$50,979"
"2019bio___$54,466"
"2019bio___$68,417"
"2019bio___$70,635"
"2019bio___$64,719"
"2019bio___$58,795"
"2019bio___$60,664"
"2019bio___$55,785"
"2019bio___$65,864"
"2019bio___$59,838"
"2019bio___$60,607"
"2019bio___$63,024"
"2019bio___$55,432"
"2019cs___$86,419"
"2019cs___$67,384"
"2019cs___$80,920"
"2019cs___$82,392"
"2019cs___$84,941"
"2019cs___$80,021"
"2019cs___$85,771"
"2019cs___$75,944"
"2019cs___$90,489"
"2019cs___$85,978"
"2019cs___$90,822"
"2019cs___$78,225"
"2019cs___$70,430"
"2019cs___$78,046"
"2019cs___$77,225"
"2019cs___$74,008"
"2019cs___$84,127"
"2019cs___$80,823"
"2019cs___$88,249"
"2019cs___$81,131"
"2019cs___$83,411"
"2019cs___$88,312"
"2019cs___$80,647"
"2019cs___$86,277"
"2019cs___$72,559"
"2019cs___$82,135"
"2019cs___$79,446"
"2019cs___$83,456"
"2019cs___$86,614"
"2019cs___$76,820"
"2019cs___$71,663"
"2019cs___$78,424"
"2019cs___$82,135"
"2019cs___$81,575"
"2019cs___$84,562"
"2019cs___$76,148"
"2019cs___$89,024"
"2019cs___$91,048"
"2019cs___$76,700"
"2019cs___$74,821"
"2019cs___$77,619"
"2019cs___$76,287"
"2019cs___$80,497"
"2019cs___$80,098"
"2019cs___$78,406"
"2019cs___$83,199"
"2019cs___$81,242"
"2019cs___$69,899"
"2019cs___$83,754"
"2019cs___$73,924"
"2019psych___$54,720"
"2019psych___$48,841"
"2019psych___$51,722"
"2019psych___$56,304"
"2019psych___$55,648"
"2019psych___$58,925"
"2019psych___$61,030"
"2019psych___$57,151"
"2019psych___$53,759"
"2019psych___$60,246"
"2019psych___$54,565"
"2019psych___$60,789"
"2019psych___$53,249"
"2019psych___$55,516"
"2019psych___$51,304"
"2019psych___$45,804"
"2019psych___$60,506"
"2019psych___$55,574"
"2019psych___$64,610"
"2019psych___$53,077"
"2019psych___$45,902"
"2019psych___$60,518"
"2019psych___$52,546"
"2019psych___$60,376"
"2019psych___$52,516"
"2019psych___$41,839"
"2019psych___$54,182"
"2019psych___$56,605"
"2019psych___$52,084"
"2019psych___$52,397"
"2019psych___$53,035"
"2019psych___$59,953"
"2019psych___$51,719"
"2019psych___$51,048"
"2019psych___$52,716"
"2019psych___$57,886"
"2019psych___$55,678"
"2019psych___$61,084"
"2019psych___$57,485"
"2019psych___$53,956"
"2019psych___$60,319"
"2019psych___$47,294"
"2019psych___$60,420"
"2019psych___$43,412"
"2019psych___$64,082"
"2019psych___$62,396"
"2019psych___$55,631"
"2019psych___$45,318"
"2019psych___$59,658"
"2019psych___$63,724"
"2019stats___$60,704"
"2019stats___$64,530"
"2019stats___$79,466"
"2019stats___$76,683"
"2019stats___$88,344"
"2019stats___$99,147"
"2019stats___$82,940"
"2019stats___$84,842"
"2019stats___$73,175"
"2019stats___$72,802"
"2019stats___$89,583"
"2019stats___$81,460"
"2019stats___$71,345"
"2019stats___$74,052"
"2019stats___$68,195"
"2019stats___$62,230"
"2019stats___$93,867"
"2019stats___$88,302"
"2019stats___$79,908"
"2019stats___$77,481"
"2019stats___$85,027"
"2019stats___$101,475"
"2019stats___$82,310"
"2019stats___$79,566"
"2019stats___$68,073"
"2019stats___$84,899"
"2019stats___$85,099"
"2019stats___$90,715"
"2019stats___$80,234"
"2019stats___$69,641"
"2019stats___$83,862"
"2019stats___$88,775"
"2019stats___$55,004"
"2019stats___$84,198"
"2019stats___$77,044"
"2019stats___$67,374"
"2019stats___$72,812"
"2019stats___$85,954"
"2019stats___$75,579"
"2019stats___$80,149"
"2019stats___$79,138"
"2019stats___$100,389"
"2019stats___$85,328"
"2019stats___$82,336"
"2019stats___$76,376"
"2019stats___$86,535"
"2019stats___$73,613"
"2019stats___$80,365"
"2019stats___$55,231"
"2019stats___$84,205"
